filename,title,prefix,namespace_uri,description,parse_success,metadata_completeness_pct,class_count,property_count,axiom_count,annotation_coverage_pct,comment_coverage_pct,has_license,has_version,has_creators,has_embedded_doi,paper_count,top_paper_titles,top_paper_urls,paper_match_types,web_result_count,top_web_titles,top_web_urls,web_result_types
bfp,Building Fire Protection,bfp,,"The BFP ontology is proposed to support the modelling of three information requirements: the geometric topology of the building; the physical devices of the fire protection system and their location, affiliation and technical properties; and the operating information of the fire protection system.",True,46.2,0,0,0,0.0,0.0,False,False,False,True,10,Operational Fault Diagnosis and Mixed Reality Inspection for Building Fire Protection Facilities | Intelligent control of building fire protection system using digital twins and semantic web technologies | IOT based Fire Detection System with Automatic and Manual Extinguishing System | Developing A Fire Monitoring and Control System Based on IoT | Domain-Specific Named Entity Recognition from Chinese Building Fire Protection Design Codes for Automated Compliance Checking,https://openalex.org/W4403023518 | https://openalex.org/W4313400144 | https://openalex.org/W4385498475 | https://openalex.org/W2563676538 | https://openalex.org/W7168125364,exact_ontology:10,3,"Intelligent control of building fire protection system using ... | Importance of Fire Pump Rooms in Building Fire Protection... | TikTok | The three common misunderstandings of civil building fire protection zoning, many people are wrong!-Tiancheng Group",https://www.sciencedirect.com/science/article/pii/S0926580522005982 | https://www.tiktok.com/@deltafireservices/video/7460118611747785992 | https://www.tcfiretech.com/news_detail_1/11.html,"other:2, paper:1"
bimdo,BIM design ontology,bimdo,,To provide a conceptual model for characterising the design properties of building elements.,True,46.2,0,0,0,0.0,0.0,False,False,False,False,0,,,,0,,,
bimso,BIM shared ontology,bimso,,A foundation ontology providing a conceptual knowledge model that is extended to build various building domain ontologies. It is designed to be extended by specialised building ontologies ensuring semantic consistency interoperability and reuse across multiple BIM related ontology developments.,True,46.2,0,0,0,0.0,0.0,False,False,False,False,2,"Study on the Evaluation Method of Green Construction Based on Ontology and BIM | A unified ontology framework for cross-domain integration of BIM, IoT, and maintenance services in smart facility management",https://openalex.org/W2977335570 | https://openalex.org/W7117366041,exact_ontology:2,0,,,
bm,BIMERR Metadata ontology,bm,https://bimerr.iot.linkeddata.es/def/metadata/,Ontology module that includes the medata and annotation terms needed in the BIMERR project. It supports structured description of datasets documents and ontology elements enabling consistent annotation governance and information management across renovation related data resources.,True,76.9,0,0,0,100.0,0.0,True,True,True,False,0,,,,3,"BIMERR Metadata ontology | GitHub - oeg-upm/bimerr-metadata: Repository for the BIMERR Metadata Ontology | International Journal of Metadata, Semantics and Ontologies",https://bimerr.iot.linkeddata.es/def/metadata/ | https://github.com/oeg-upm/bimerr-metadata | https://www.inderscience.com/jhome.php?jcode=ijmso,"documentation:1, github_repo:1, other:1"
bop,Building Performance Ontology,bop,https://w3id.org/bop#,"The BOP is designed to integrate topological building information with both static and dynamic properties, creating a unified data environment for complex building performance assessments that includes sensors and Actuators for smart homes.",True,76.9,19,56,0,98.6,0.0,True,True,True,False,2,Ontology for holistic building performance modeling and analysis | Semantic Web Technologies for Indoor Environmental Quality: A Review and Ontology Design,https://openalex.org/W4409564048 | https://openalex.org/W4297147174,exact_ontology:2,1,Building Performance Ontology,https://w3id.org/bop#,official_namespace:1
bot,The Building Topology Ontology (BOT),bot,https://w3id.org/bot#,BOT is a minimal ontology for describing the core topological concepts of a building. It focuses on spatial structure and relationships between buildings spaces and elements providing a reusable semantic foundation for building modelling and for extension by more specialised building ontologies.,True,76.9,8,17,0,100.0,0.0,True,True,True,False,3,"BOT: The building topology ontology of the W3C linked building data group | Web-based topology queries on a BIM model | The modular SSN ontology: A joint W3C and OGC standard specifying the semantics of sensors, observations, sampling, and actuation",https://openalex.org/W3089558719 | https://openalex.org/W2781495203 | https://openalex.org/W2889161681,exact_ontology:3,3,The Building Topology Ontology (BOT) | The Building Topology Ontology (BOT) - liusemweb.github.io,https://w3id.org/bot# | https://akswnc7.informatik.uni-leipzig.de/dstreitmatter/archivo/w3id.org/bot/2020.07.11-231056/bot_type=generatedDocu.html | https://liusemweb.github.io/CEON/ontology/bot/0.3.2/bot.pdf,"official_namespace:1, other:1, paper:1"
bpo,Building Product Ontology,bpo,https://w3id.org/bpo#,"The BPO's scope is on the schematic description of product only, not including geometry or material compositions. Therefore, it can be used to describe theoretical product components without geometric representations as well as those with geometric representations without restrictions.",True,76.9,18,23,0,100.0,0.0,True,True,True,False,2,BPO: The Building Product Ontology for Assembled Products | Building product ontology: Core ontology for Linked Building Product Data,https://openalex.org/W2980609532 | https://openalex.org/W3209941307,"ontology_family:1, reuse_application:1",1,Building Product Ontology,https://w3id.org/bpo#,official_namespace:1
brick,Brick,brick,,"Brick is an open-source, BSD-licensed development effort to create a uniform schema for representing metadata in buildings. t models building equipment points and relationships supporting interoperability analytics and management of building systems across software platforms and operational use cases.",True,69.2,1518,199,0,0.0,0.0,True,True,True,False,9,Brick | In-plane seismic response of brick masonry walls | Brick : Metadata schema for portable smart building applications | Experimental study of using PCM in brick constructive solutions for passive cooling | The use of coarse and fine crushed bricks as aggregate in concrete,https://openalex.org/W2547405038 | https://openalex.org/W2145482971 | https://openalex.org/W2788308593 | https://openalex.org/W2025258152 | https://openalex.org/W2018746685,exact_ontology:9,10,Introduction | Brick Ontology | Brick Ontology – Ontologies Catalogue | Introduction — Brick Ontology Documentation | Bricks ontology - brick - Classes | NCBO BioPortal | BUILDING ONTOLOGY: MODERATE new python library using LLM and BRICK - MODERATE,https://brickschema.org/ | https://ontologies.buildingdigitaltwin.org/ontology/brick-ontology/ | https://docs.brickschema.org/ | https://bioportal.bioontology.org/ontologies/BKO?p=classes | https://moderate-project.eu/building-ontology-moderate-new-python-library-using-llm-and-brick/,"documentation:3, other:6, paper:1"
brot,Bridge Topology Ontology,brot,https://w3id.org/brot#,"The Bridge Topology Ontology (BROT) allows the definition of bridge constructions including aggregated zones and components as well as their topological relations. The ontology supports a generic modeling approach and therefore could be applied for any bridge type (e.g. suspension bridge or girder bridge). brot:Bridge can be subdivided into multiple components (brot:BridgeElement) and zones (brot:BridgeSpatialZone), whereby also common zones such as the superstructure (brot:BridgeSuperStructure) and substructure (brot:BridgeSubstructure) are supported. Furthermore, BROT allows the definition of joints (brot:BridgeJoint) and coatings (brot:BridgeCoating) as well as object properties for describing the vertical relation between two components or zones.",True,76.9,8,9,0,100.0,0.0,True,True,True,False,1,Formalisation of Knowledge About Non-Destructive Testing Methods For Bridge Structures Based on The Development of The Sodia Ontology,https://openalex.org/W4403196159,exact_ontology:1,1,Bridge Topology Ontology,https://w3id.org/brot#,official_namespace:1
building,Building Ontology,building,http://bimerr.iot.linkeddata.es/def/building#,"The purpose of the Building Ontology is to represent the main topological relationships that exists between entities in the building domain. Furthermore, the model aims to represent the main components and systems directly involved in energy related aspects of buildings. This model works as the core module within the BIMERR Ontology Network, where several other domains related to the building industry are connected to it. The model takes as layout the BOT Ontology to represent the topological structure of buildings. Additionally, it reuses concepts from the SAREF4Building Ontology to represent the main components and systems that directly impact the energy consumption of buildings and are suceptible to change in a renovation project.",True,76.9,45,34,0,83.3,0.0,True,True,True,False,7,Building a chemical ontology using Methontology and the Ontology Design Environment | Building Ontologies at the Knowledge Level using the Ontology Design Environment | Overview and analysis of methodologies for building ontologies | Some Issues on Ontology Integration | Overview of methodologies for building ontologies,https://openalex.org/W1965465660 | https://openalex.org/W1500153244 | https://openalex.org/W2007900820 | https://openalex.org/W2146273255 | https://openalex.org/W1582734619,exact_ontology:7,1,Building ontology,http://bimerr.iot.linkeddata.es/def/building#,documentation:1
camo,Circular Materials and Activities Ontologies,camo,,"Ontology provides a CE classification system for the different materials, products and activities, which is based on EPEA, an institution recognized for its Cradle-to-Cradle certification.",True,46.2,0,0,0,0.0,0.0,False,False,False,False,6,Towards circular cities: directions for a material passport ontology | Semantic Web and its role in facilitating ICT data sharing for the circular economy: An ontology survey | RePlanIT Ontology for Digital Product Passports of ICT: Laptops and Data Servers | Deploying OWL ontologies for semantic mediation of mixed-reality interactions for human–robot collaborative assembly | CAMO: Integration of Linked Open Data for Multimedia Metadata Enrichment,https://openalex.org/W4285082909 | https://openalex.org/W4401442808 | https://openalex.org/W4413953299 | https://openalex.org/W4385735943 | https://openalex.org/W49576978,"exact_ontology:3, ontology_family:1, reuse_application:2",0,,,
cdc,CDC: Construction Dataset Context ontology,cdc,https://w3id.org/cdc#,"The Construction Dataset Context (CDC) ontology is an extension of DCAT v2.0, a W3C Recommendation ontology for describing (RDF and non-RDF) datasets published on the Web. Using this extension, it becomes possible to describe a context for construction-related datasets that are being distributed using Web technology as well as datasets that are not shared outside an organization such as local copies, work in progress and other datasets that remain internal. This dataset metadata encompasses the temporal context (period or snapshot), the type of content of the dataset (as-built, design, etc.) and relations between contextualized datasets (previous as-built, requirements related to a design, etc.). In addition, this DCAT extension also provides terminology for managing dataset distributions that are scoped to a certain (named or default) graph of an RDF file or quadstore",True,69.2,30,18,0,100.0,0.0,True,True,True,False,0,,,,2,CDC: Construction Dataset Context ontology,https://w3id.org/cdc# | https://mathib.github.io/cdc-ontology/,"documentation:1, official_namespace:1"
cdo,Concrete Damage Ontology,cdo,,Ontology extending the Damage Topology Ontology (DTO) to represent damage mechanisms specific to reinforced concrete structures. It supports semantic description of concrete damage types and their relation to affected building elements to aid inspection analysis and assessment workflows.,True,46.2,0,0,0,0.0,0.0,False,False,False,False,0,,,,0,,,
ceo,Circular Exchange Ontology,ceo,,Describes the elements necessary to undergo a material exchange between different actors of the Circular Exchange. It models participants resources and exchange mechanisms enabling semantic representation of circular material flows and reuse processes.,True,46.2,0,0,0,0.0,0.0,False,False,False,False,3,Towards circular cities: directions for a material passport ontology | Semantic Web and its role in facilitating ICT data sharing for the circular economy: An ontology survey | Semantic modelling to support design for decommissioning and reuse through OpenBIM and the buildingSMART data dictionary,https://openalex.org/W4285082909 | https://openalex.org/W4401442808 | https://openalex.org/W7155002684,"exact_ontology:2, ontology_family:1",0,,,
ci,The Cost Item (CI) Ontology,ci,http://w3id.org/ci#,"The Cost Item (CI) ontology represents the cost domain and defines a structured model for describing and aggregating cost items and their components. It extends IfcCostItem from IFC4x3 and introduces the class ci:CostItem, which aggregates instances of ci:CostComponent through ci:hasPart. The ontology integrates QUDT for units, supports connections to IFC geometry, and aligns cost activities with DTC tasks. By linking with CR, it ensures consistent semantic mapping between cost, resources, and geometry for model-based estimation.",True,76.9,68,37,0,0.0,0.0,True,True,True,True,1,"Semantic Integration of Cost, Time and Geometry for a Resource-centred Perspective of Managing Construction Projects",https://doi.org/10.35490/ec3.2025.263,exact_ontology:1,2,The Cost Item (CI) Ontology,http://w3id.org/ci# | https://cpm-ont-network.github.io/cost/index.html,"documentation:1, official_namespace:1"
conse,Construction Semantic Enrichment Ontology,conse,,Construction Semantic Enrichment ontology offers a formal representation of visual information relevant to construction site imagery. It is designed to support the development of semantic-enriched visual analytic systems in the construction domain.,True,46.2,0,0,0,0.0,0.0,False,False,False,True,2,ConSE: An ontology for visual representation and semantic enrichment of digital images in construction sites,https://openalex.org/W4392612862 | https://openalex.org/W4390282185,exact_ontology:2,1,Conse: An Ontology for Visual Representation and Semantic... :: SSRN,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4677638,paper:1
contax,ConTax ontology,contax,https://w3id.org/con-tax#,"The ConTax ontology contains additional terminology for structuring and annotating RDFS/OWL taxonomies for describing constructions (components, materials, spatial zones, damages, construction tasks and properties). It also functions as an index for known taxonomies starting from root classes and properties.",True,76.9,27,13,0,38.9,0.0,True,True,True,False,0,,,,4,ConTax ontology | GitHub - mathib/ConTax-ontology: Ontology for managing construction taxonomies | Linked Open Vocabularies,https://w3id.org/con-tax# | https://mathib.github.io/ConTax-ontology/ | https://github.com/mathib/ConTax-ontology | https://lov.linkeddata.es/dataset/lov/vocabs/contax,"documentation:2, github_repo:1, official_namespace:1"
cr,The Construction Resources (CR) Ontology,cr,http://w3id.org/cr#,"The Construction Resources (CR) ontology defines the shared resource domain connecting cost, scheduling and geometrical data. The central class cr:Resource specializes into cr:LabourResource, cr:EquipmentResource, and cr:MaterialResource, aligned respectively with DTC classes for workers, equipment, and materials. It includes mechanisms for aggregation (cr:hasSubResource), and cross-domain assignments (cr:AssignmentSet, cr:Assignment) linking ci:CostItem, dtc:Task, and ifc:IfcProduct. Parameters such as quantity, utilization rate, and formulas enable accurate data exchange between domains. CR bridges CI and DTC, ensuring unified representation of resources for cost- and time-centric project management.",True,76.9,63,59,0,0.0,0.0,True,True,True,True,1,"Semantic Integration of Cost, Time and Geometry for a Resource-centred Perspective of Managing Construction Projects",https://doi.org/10.35490/ec3.2025.263,exact_ontology:1,4,The Construction Resources (CR) Ontology | The Construction Resources (CR) Ontology - GitHub,http://w3id.org/cr# | https://cpm-ont-network.github.io/resource/index-de.html | https://github.com/cpm-ont-network/resource | https://cpm-ont-network.github.io/resource/index.html,"documentation:2, github_repo:1, official_namespace:1"
cterm,The Construction Terminology (CTERM) Ontology,cterm,http://w3id.org/cterm#,"The Construction Terminology (CTERM) ontology provides a multilingual and structured vocabulary for describing construction concepts and parameters. It defines classes such as cterm:Object, cterm:Material, cterm:Function, cterm:Aspect, and cterm:Finishing, used by CI and CR for consistent annotation. Parameter subclasses (cterm:DimensionParameter, cterm:PhysicalParameter, cterm:PerformanceParameter) model measurable or qualitative characteristics using QUDT units. CTERM supports multiple classification systems (DIN 276, UNI 8290, Uniclass, Omniclass, Uniformat, StLB) and includes multilingual labels (e.g., “Reinforcement”@en, “Bewehrung”@de, “Armatura”@it). It acts as the terminological backbone of the ontology network and can be exported as a SKOS vocabulary in future work.",True,76.9,101,30,0,0.0,0.0,True,True,True,True,1,"Semantic Integration of Cost, Time and Geometry for a Resource-centred Perspective of Managing Construction Projects",https://doi.org/10.35490/ec3.2025.263,exact_ontology:1,2,The Construction Terminology (CTERM) Ontology,http://w3id.org/cterm# | https://cpm-ont-network.github.io/terminology/index.html,"documentation:1, official_namespace:1"
cto,CTO: Construction Tasks Ontology,cto,https://w3id.org/cto#,"The Construction Tasks Ontology (CTO) describes tasks operating on construction elements, spatial zones and/or damages. The tasks are either planned or executed depending on the dataset metadata context of the dataset its used in. Five different types of tasks are defined: instalment, removal, modification, repair and inspection. Consequences of tasks on the dataset, i.e. added and/or deleted triples, are modeled using reified statements (RDF reification). The tasks can link to a reified statement using the CTO relations.",True,76.9,12,9,0,81.0,0.0,True,True,True,False,0,,,,2,CTO: Construction Tasks Ontology,https://w3id.org/cto# | https://mathib.github.io/cto-ontology/,"documentation:1, official_namespace:1"
dano,Drawing Analyis Ontology (DAnO),dano,https://w3id.org/dano#,"DAnO is designed to standardize the representation of technical drawing data extracted through computer vision techniques. Focusing on floor plans, DAnO enables the aggregation, integration, and validation of extracted elements by defining key concepts, such as DrawingElement, DisplayElement, and DescriptionElement, and their relationships.",True,76.9,16,20,0,94.1,0.0,True,True,True,True,1,Ontology-based reasoning in automatic floor plan analysis,https://openalex.org/W4413454084,exact_ontology:1,3,Drawing Analyis Ontology (DAnO) Orcid logo | Drawing Analyis Ontology (DAnO),https://w3id.org/dano# | https://rub-informatik-im-bauwesen.github.io/dano/ | https://rub-informatik-im-bauwesen.github.io/dano/index.html,"documentation:2, official_namespace:1"
db,Digital Buildings,db,,Ontology supporting semantic modelling of building information derived from computer vision analysis of drawings and plans. It enables structured representation of building elements extracted from visual data to support digital building analysis.,True,61.5,2043,7,0,67.1,0.0,True,True,False,False,1,Metadata Schemas and Ontologies for Building Energy Applications: A Critical Review and Use Case Analysis,https://openalex.org/W3150133543,exact_ontology:1,10,digitalbuildings | Digital Buildings (ontology and SDK) currently ... | Digital Buildings Ontology | digitalbuildings | Google's Digital Buildings - Automated Buildings | Digital Buildings Ontology | google/digitalbuildings | DeepWiki | Digital Buildings Council,https://google.github.io/digitalbuildings/ | https://google.github.io/digitalbuildings/ontology/docs/ontology.html | https://automatedbuildings.com/news/sep20/articles/buildingsiot/200826104401buildingsiot.html | https://deepwiki.com/google/digitalbuildings/2-digital-buildings-ontology | https://thedbc.io/,"documentation:3, other:5, paper:2"
dica,Digital Construction Agents,dica,https://w3id.org/digitalconstruction/0.5/Agents#,"Ontology defining key agent related concepts in digital construction environments. It models actors and digital agents involved in construction processes enabling representation of responsibilities interactions and information exchange between systems and stakeholders. Represents key concepts, such as DrawingElement, DisplayElement, and DescriptionElement",True,76.9,38,36,0,49.2,0.0,True,True,True,False,0,,,,6,Digital Construction Agents | Construction Agents - Adcompuk.Org | digitalconstruction.github.io/Agents/latest/ontology.nt | Building Ontology-Driven Intelligence for Industrial AI Agents,https://w3id.org/digitalconstruction/0.5/Agents# | https://digitalconstruction.github.io/Agents/v/0.5/ | https://digitalconstruction.github.io/Agents/latest/index-en.html | http://www.adcompuk.org/Construction-Agents | https://digitalconstruction.github.io/Agents/latest/ontology.nt,"documentation:4, official_namespace:1, other:1"
dicc,Digital Construction Contexts,dicc,https://w3id.org/digitalconstruction/0.5/Contexts#,"Context ontology provides the basic representation mechanisms for multi-context information in contruction and renovation projects. The Digital Construction Contexts contain the definitions to maintain different realms of information, for instance, information about as-is, as-designed, as-built and as-maintained models; planned versus actual execution of activities; models containing information up to a specific LOD level; plans for alternative construction methods or renovation scenarios.",True,76.9,5,19,0,45.8,0.0,True,True,True,False,1,A shared ontology suite for digital construction workflow,https://openalex.org/W3200146144,exact_ontology:1,4,Digital Construction Contexts | Construction Contexts Stock Illustrations – 161... - Dreamstime | digitalconstruction.github.io/Contexts/v/0.5/contexts.ttl,https://w3id.org/digitalconstruction/0.5/Contexts# | https://digitalconstruction.github.io/Contexts/v/0.5/ | https://www.dreamstime.com/illustration/construction-contexts.html | https://digitalconstruction.github.io/Contexts/v/0.5/contexts.ttl,"documentation:2, official_namespace:1, other:1"
dice,Digital Construction Entities,dice,https://w3id.org/digitalconstruction/0.5/Entities#,"Digital Construction Entities (DICE) ontology defines the basic terms useful to represent digitalized construction processes (utilizing BIM, IoT, mobile devices, ERP, and so on) and modern construction management methods and practices developed in the field of lean construction. The purpose is to enable the representation of connections between data objects produced by different digital systems.",True,76.9,147,141,0,64.7,0.0,True,True,True,False,0,,,,4,Digital Construction Entities | digitalconstruction.github.io/Entities/latest/ontology.nt,https://w3id.org/digitalconstruction/0.5/Entities# | https://digitalconstruction.github.io/Entities/v/0.3/index.html | https://digitalconstruction.github.io/Entities/v/0.5/ | https://digitalconstruction.github.io/Entities/latest/ontology.nt,"documentation:3, official_namespace:1"
dices,Digital Construction Energy,dices,https://w3id.org/digitalconstruction/0.5/Energy#,"Digitial Construction Energy Systems ontology is defined to address lifecycle assessment parameters of energy systems. It extends the SAREF Core ontology by incorporating concepts (e.g. cost related parameters, LCA related aspects etc..) relevant to lifecycle assessment.",True,76.9,101,43,0,49.7,0.0,True,True,True,False,0,,,,8,Digital Construction Energy | digitalconstruction/Energy: Digital Construction Energy ontology | Semantic Farm - Digital Construction Energy Ontology | Energy-harvesting sensor powered by bridge vibrations - Construction Management | ISO 50001 Energy Management Systems | IRES,https://w3id.org/digitalconstruction/0.5/Energy# | https://github.com/digitalconstruction/Energy | https://digitalconstruction.github.io/Energy/v/0.5/ | https://semantic.farm/registry/digitalconstruction.energy | https://constructionmanagement.co.uk/energy-harvesting-sensor-powered-by-bridge-vibrations/,"documentation:1, github_repo:1, official_namespace:1, other:4, paper:1"
dici,Digital Construction Information,dici,https://w3id.org/digitalconstruction/0.5/Information#,"Digital Construction Information ontology defines the concepts and relations for information content entities in construction and renovation domain. Examples of such entities are BIM models, drawings, point clouds, plans, contracts, issues, and messages. It also includes more technical information enties such as variables, labels, scenarios, and so on. The model covers specifically the different information contents and does not address the question on which physical physical carriers (paper, disk, claoud storage, ...) the content is stored.",True,76.9,69,69,0,42.8,0.0,True,True,True,False,1,Ontology-Based Semantic Construction Image Interpretation,https://openalex.org/W4388540746,exact_ontology:1,3,Digital Construction Information | Unit 6: Digital Applications for Construction Information Assignment Brief,https://w3id.org/digitalconstruction/0.5/Information# | https://digitalconstruction.github.io/Information/v/0.5/ | https://workingment.com/answers/unit-6-digital-applications-for-construction-information-assignment-brief,"documentation:1, official_namespace:1, other:1"
dicl,Digital Construction Lifecycle,dicl,https://w3id.org/digitalconstruction/0.5/Lifecycle#,"An ontology to represent the enhancement of building data throughout the construction lifecycle stages. The final goal is to describe clearly activities, tasks, and sequences, their interrelation to stakeholders involved and the required information.",True,76.9,8,21,0,33.3,0.0,True,True,True,False,0,,,,5,Digital Construction Lifecycle Ontology (DICL) | Request PDF | Bioregistry - Digital Construction Lifecycle (dicl) | Digital Construction Information | (PDF) Ontology approach for Building Lifecycle data management,https://www.researchgate.net/publication/344104607_Digital_Construction_Lifecycle_Ontology_DICL | https://bioregistry.io/registry/digitalconstruction.lifecycle | https://w3id.org/digitalconstruction/0.5/Lifecycle# | https://digitalconstruction.github.io/Lifecycle/v/0.5/ | https://www.academia.edu/80666202/Ontology_approach_for_Building_Lifecycle_data_management,"documentation:2, official_namespace:1, other:1, paper:1"
